# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Stage Number"	"Step Number"	"Cycle Number"	"SYBR"	"ROX"
"2"	"A2"	"3"	"3"	"1"	"903483.44"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"898871.44"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"891872.2"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"884963.7"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"877036.25"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"871571.4"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"864927.2"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"857950.6"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"850652.7"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"843709.75"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"836917.4"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"831929.7"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"823979.3"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"818572.75"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"810154.2"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"806581.1"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"797841.56"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"791094.4"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"787486.94"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"778991.4"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"772101.75"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"766422.44"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"760006.1"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"752487.75"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"746637.9"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"740191.2"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"733401.9"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"727978.0"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"719210.44"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"711993.6"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"705118.5"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"697868.4"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"691821.8"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"683279.4"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"678919.44"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"670102.1"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"663044.8"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"657711.56"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"649815.6"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"641530.2"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"635303.75"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"628552.56"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"621422.5"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"616261.94"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"608190.1"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"598520.0"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"594113.3"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"585528.25"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"580037.1"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"573830.2"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"566122.6"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"559940.06"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"550933.2"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"545285.44"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"537222.4"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"529258.75"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"520484.53"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"510747.66"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"500998.34"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"484537.53"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"468941.4"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"447636.97"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"416283.0"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"368778.7"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"296968.2"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"208222.28"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"129567.27"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"85445.33"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"68337.164"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"63098.164"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"60004.414"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"58285.633"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"57096.49"	"0.0"
"2"	"A2"	"3"	"3"	"1"	"57167.812"	"0.0"
